id	DESeq2_logFC	DESeq2_padj	edgeR_logFC	edgeR_padj	maxPadj	minPadj
CCR7	11.4698485102199	3.91165583815873e-140	11.4783870805042	5.56674121970787e-169	3.91165583815873e-140	5.56674121970787e-169
FRAS1	-14.7301787284994	3.289854612659e-36	-14.4817093154191	9.16360666196078e-169	3.289854612659e-36	9.16360666196078e-169
SFRP2	-15.6488817515246	2.4743481401844e-38	-16.5147011964061	1.27489299831365e-168	2.4743481401844e-38	1.27489299831365e-168
APOL1	10.8723182946108	1.12001623829643e-104	10.8526566786015	1.38764482827611e-166	1.12001623829643e-104	1.38764482827611e-166
BTK	10.3624755610419	2.41749686957115e-130	10.3664070634487	1.90859978061942e-166	2.41749686957115e-130	1.90859978061942e-166
LAPTM5	11.6795694068616	3.43059897928103e-239	11.7255241535431	1.39771789713552e-165	1.39771789713552e-165	3.43059897928103e-239
NCF2	12.2456501815499	1.15181348740148e-68	12.1507420306357	3.38443247199494e-165	1.15181348740148e-68	3.38443247199494e-165
DNMT3B	-10.5052790633496	0	-10.4301028787979	6.92767293863593e-165	6.92767293863593e-165	0
CIITA	11.3617363132625	2.58660981092575e-100	11.3331206525504	2.59918079127005e-164	2.58660981092575e-100	2.59918079127005e-164
BCL2A1	14.1026280200904	4.30758102242233e-40	13.8230686480057	3.36869610320847e-164	4.30758102242233e-40	3.36869610320847e-164
MYO10	-12.1691076569091	2.45610730138192e-73	-12.0207749661155	1.39413749651224e-163	2.45610730138192e-73	1.39413749651224e-163
CYTIP	11.6478172157011	5.23354519264975e-84	11.593346110922	1.90995333842753e-162	5.23354519264975e-84	1.90995333842753e-162
CD53	10.5116714743496	1.05269954607364e-182	10.5478374700461	3.81670068945351e-162	3.81670068945351e-162	1.05269954607364e-182
SASH3	13.5416759914077	7.76067807655034e-40	13.2676617669835	9.38091783574439e-161	7.76067807655034e-40	9.38091783574439e-161
IRF8	8.65891853288658	7.03594512881454e-258	8.71228751826835	9.61992582503048e-161	9.61992582503048e-161	7.03594512881454e-258
SLC7A3	-14.9758432287452	2.88782393071058e-35	-15.8415065898405	2.02025481107981e-158	2.88782393071058e-35	2.02025481107981e-158
IFI16	8.77803572165585	1.94324612910609e-233	8.82374581670541	2.37809038233134e-158	2.37809038233134e-158	1.94324612910609e-233
IL2RG	11.7669806578014	1.19066978144558e-97	11.7417021771226	6.05373143429926e-155	1.19066978144558e-97	6.05373143429926e-155
ALPL	-14.4266404110891	1.5992389410054e-34	-14.1787214077237	3.70097443861783e-154	1.5992389410054e-34	3.70097443861783e-154
AIF1L	-12.4753708707015	1.79593446335928e-47	-12.2720331993688	8.27769483315827e-154	1.79593446335928e-47	8.27769483315827e-154
WDFY4	14.5999872641693	7.27531346430741e-42	14.3239749804067	1.18301061716681e-153	7.27531346430741e-42	1.18301061716681e-153
OAS2	11.4856936721745	5.51921282386195e-88	11.4468496421261	7.90758024084668e-152	5.51921282386195e-88	7.90758024084668e-152
RASGRP3	10.023747918967	4.87074940069441e-152	10.0489432857423	8.62051042249136e-152	8.62051042249136e-152	4.87074940069441e-152
VRTN	-14.2830586863514	6.45961036210318e-34	-14.0199435666	1.00710499256612e-151	6.45961036210318e-34	1.00710499256612e-151
NES	-11.9795703538486	8.8149512345261e-91	-11.8577996306843	1.71732020465015e-151	8.8149512345261e-91	1.71732020465015e-151
COL1A2	-11.5083123965879	1.82703148278675e-86	-11.3952288855662	3.42211633003073e-151	1.82703148278675e-86	3.42211633003073e-151
ZIC2	-13.0276786492448	5.46429061526839e-36	-12.7561161438732	1.01181191772073e-150	5.46429061526839e-36	1.01181191772073e-150
DSP	-10.5859720790246	1.99282777969336e-114	-10.4839254557294	1.08921190059371e-150	1.99282777969336e-114	1.08921190059371e-150
MEF2C	8.97726648766175	3.1715745722002e-210	9.02603177240058	2.38837949435658e-150	2.38837949435658e-150	3.1715745722002e-210
CTSS	12.5439456733172	2.39720329469394e-45	12.3520295374145	3.43277293167207e-150	2.39720329469394e-45	3.43277293167207e-150
TNFRSF13B	13.2643150860625	5.12254017887719e-38	12.9898516239081	6.8644468492419e-150	5.12254017887719e-38	6.8644468492419e-150
ENAH	-11.0056123042229	4.33987177136579e-112	-10.8840240342492	1.56272196211066e-148	4.33987177136579e-112	1.56272196211066e-148
FAT1	-9.95872835464008	4.46984471283189e-165	-9.87122278889925	5.29500073693799e-148	5.29500073693799e-148	4.46984471283189e-165
LRRN1	-12.3553310649534	4.44244613158149e-60	-12.1785394999165	3.24601720469823e-147	4.44244613158149e-60	3.24601720469823e-147
BLK	14.80528383171	2.36634718877309e-43	15.2792874726406	7.37423545772822e-147	2.36634718877309e-43	7.37423545772822e-147
